location,num_postings,posting_ids,number_of_sweeps,geometry
E. 12th St between 45th Ave and 46th Ave | E 12th St between 45th Ave and 46th Ave,6,[ 442  470  497 1588 1670 1797],4,"LINESTRING (-122.2141279 37.7705512, -122.2134168 37.7699554)"
45th Ave between International and E12 Street,8,[ 449  477  504 1591 1668 1986 1991 2081],6,"LINESTRING (-122.2141279 37.7705512, -122.2129964 37.7714048)"
High St between Wattling St and San Leandro St,1,[ 1868 ],1,"LINESTRING (-122.2171564 37.77062919999999, -122.2181701 37.7698668)"
Bancroft Way between 46th Ave & 47th Ave,1,[ 1180 ],1,"LINESTRING (-122.2115769 37.7708724, -122.21054890662842 37.771417860250736, -122.209923 37.77164459999999)"
Foothill Blvd between 63rd Ave and 64th Ave,1,[ 2147 ],1,"LINESTRING (-122.1854727 37.7709015, -122.1845311 37.7707777)"
Foothill Blvd between 62nd Ave and 63rd Ave,1,[ 2148 ],1,"LINESTRING (-122.1867127 37.7710647, -122.1854727 37.7709015)"
42nd Ave between San Leandro Blvd & Wattling St,4,[1477 1556 1686 1866],4,"LINESTRING (-122.21824 37.7711512, -122.21930934236302 37.77043798763031)"
San Leandro St between 42nd Ave and High St,2,[ 155 1865],2,"LINESTRING (-122.21824 37.7711512, -122.2171564 37.77062919999999)"
44th Ave between E 12th St & San Leandro ST,3,[456 484 511],1,"LINESTRING (-122.2148713 37.7711664, -122.2163924 37.7700209)"
E. 12th St between 44th Ave and 45th Ave | E 12th St between 44th Ave and 45th Ave,4,[ 443  471  498 1796],2,"LINESTRING (-122.2148713 37.7711664, -122.2141279 37.7705512)"
E. 12th St between High St and 44th Ave | E 12th St between High St and E 12th Place | E 12th St between High St and 44th Ave,5,[ 444  472  499 1794 1795],2,"LINESTRING (-122.2148713 37.7711664, -122.2161034 37.7714223)"
44th Ave between E 12th St & International Blvd,3,[457 485 512],1,"LINESTRING (-122.2148713 37.7711664, -122.2139466 37.7718542)"
57th Ave between Foothill Blvd and Bancroft Ave | 57th Ave between Bancroft and Laverne Ave,2,[891 992],2,"LINESTRING (-122.19429141031932 37.771226748434316, -122.19418089649902 37.77135149783977, -122.1939307948793 37.772140029773034, -122.19387618652385 37.77221399906252)"
San Leandro St between 41st Ave & 42nd Ave,1,[ 156 ],1,"LINESTRING (-122.2187894 37.7714139, -122.21824 37.7711512)"
High St between E 12th St & E 12th St Pl,3,[453 481 508],1,"LINESTRING (-122.2161034 37.7714223, -122.2156127 37.7717942)"
Bancroft between Hilton St and Trask St,1,[ 36 ],1,"LINESTRING (-122.1960152 37.771483, -122.1942772 37.7712582)"
64th Ave between Foothill Blvd and Brann,1,[ 2146 ],1,"LINESTRING (-122.1832829 37.7715972, -122.1845311 37.7707777)"
Brann St between 64th Ave and Camden St,1,[ 2150 ],1,"LINESTRING (-122.1832829 37.7715972, -122.18310875806873 37.77141471107639, -122.1828581362263 37.77128069758792, -122.1816964 37.7711153)"
64th Ave between Brann St and Camden St,2,[1907 2143],2,"LINESTRING (-122.1832829 37.7715972, -122.182042 37.7724113)"
Bancroft Ave between 55th Ave and Hilton St,6,[  35  884 1445 1662 1702 2053],6,"LINESTRING (-122.1972896 37.771655, -122.1960152 37.771483)"
Bancroft between Cole St and 55th St,2,[ 34 883],2,"LINESTRING (-122.1972896 37.771655, -122.1985941 37.7717701)"
55th Ave between Bancroft Ave & Hilton St,2,[ 33 888],2,"LINESTRING (-122.1972896 37.771655, -122.1966852 37.7720761)"
E 8th St between 36th Ave and 37th Ave,1,[ 926 ],1,"LINESTRING (-122.2247729 37.7717751, -122.22382609648639 37.77131548321504)"
